movie_id,title,overview,poster_path,rating,genres
1356039,Counterattack,"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",https://image.tmdb.org/t/p/w500//38I76hGcFY6xB47pjm7pZwkfuAF.jpg,8.379,"Action, Adventure, Thriller"
3600,I Still Know What You Did Last Summer,"Ever since killing the Fisherman one year ago, Julie James is still haunted by images of him after her. When her best friend Karla wins free tickets to the Bahamas, Julie finds this a perfect opportunity to finally relax. But someone is waiting for her. Someone who she thought was dead. Someone who is out again for revenge.",https://image.tmdb.org/t/p/w500//motBJIO921LFZkoGKCSbmSCVHBc.jpg,5.359,"Horror, Mystery, Thriller"
533535,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",https://image.tmdb.org/t/p/w500//8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,7.6,"Action, Comedy, Science Fiction"
1189423,The Sloth Lane,"After a terrifying storm destroys their home, a speedy sloth named Laura and her kooky family move to the big city in their rusted old food truck, Gordito, hoping to make their business a success. The family's delicious food catches the eye of a quick-witted cheetah who will stop at nothing to revive her failing fast-food business.",https://image.tmdb.org/t/p/w500//toBN1A9AnhoUzXyu9gaVyQVJehp.jpg,6.458,"Animation, Family"
1321952,"Sofia, the Possession","My mother vanished inside the boarding school where she worked. Through a Ouija board, she told me to look for her. My name is Sofia. I'm 14 years old and I'm going to enroll at the boarding school to find the body of my mother.",https://image.tmdb.org/t/p/w500//kYbd7M1dk2xadHd2WczQRmO28uJ.jpg,7.2,Horror
912649,Venom: The Last Dance,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",https://image.tmdb.org/t/p/w500//vGXptEdgZIhPg3cGlc7e8sNPC2e.jpg,6.8,"Action, Science Fiction, Adventure"
1208808,Turno nocturno,"A young nurse with a domestic abuse past starts working the night shift at a small hospital, where, during the night, the ghost of a nurse materializes.",https://image.tmdb.org/t/p/w500//iSSx9Bys64vlOkvkyKXtp19P7Re.jpg,6.3,Horror
284053,Thor: Ragnarok,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",https://image.tmdb.org/t/p/w500//rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg,7.584,"Action, Adventure, Science Fiction"
346672,Underworld: Blood Wars,"Vampire death dealer Selene fends off brutal attacks from both the Lycan clan and the Vampire faction that betrayed her. With her only allies, David and his father Thomas, she must stop the eternal war between Lycans and Vampires, even if it means she has to make the ultimate sacrifice.",https://image.tmdb.org/t/p/w500//v1ciDCWMG47gdT4kMyjyQbnLQQn.jpg,5.9,"Fantasy, Action, Thriller, Science Fiction"
38575,The Karate Kid,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",https://image.tmdb.org/t/p/w500//qV8xTWfknTOSErSa0b9Iay2QztS.jpg,6.547,"Action, Adventure, Drama, Family"
